@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile$1.read,4,4,4,3,75.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile$1.read,4,4,5,4,80.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.CLI$Mode$1.takeAction,11,13,16,16,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.CLI$Mode$1.getContentMethods,9,11,12,7,58.333333333333336,0,0
@@ org.apache.commons.compress.archivers.sevenz.LZMADecoder.decode,10,13,26,26,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.LZMADecoder.getOptionsFromCoder,6,7,11,11,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.LZMADecoder.getOptions,4,4,5,5,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.LZMA2Decoder.decode,4,4,8,8,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.LZMA2Decoder.getDictSize,4,4,5,5,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.LZMA2Decoder.getDictionarySize,12,16,17,17,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.LZMA2Decoder.getOptions,4,4,5,5,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.Folder.getOrderedCoders,8,9,15,11,73.33333333333333,0,0
@@ org.apache.commons.compress.archivers.sevenz.Folder.findBindPairForInStream,7,8,22,13,59.09090909090909,0,1
@@ org.apache.commons.compress.archivers.sevenz.Folder.findBindPairForOutStream,7,8,22,13,59.09090909090909,0,0
@@ org.apache.commons.compress.archivers.sevenz.Folder.getUnpackSize,9,11,22,13,59.09090909090909,0,1
@@ org.apache.commons.compress.archivers.sevenz.Folder.getUnpackSizeForCoder,8,10,28,15,53.57142857142857,0,1
@@ org.apache.commons.compress.archivers.sevenz.Folder.toString,5,5,12,12,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile$OutputStreamWrapper.write,5,5,18,18,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.DeltaDecoder.getOptionsFromCoder,5,6,10,6,60.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZMethodConfiguration.<init>,5,6,8,5,62.5,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZMethodConfiguration.hashCode,5,5,6,6,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZMethodConfiguration.equals,11,15,27,16,59.25925925925925,0,0
@@ org.apache.commons.compress.archivers.sevenz.CLI.main,13,17,19,17,89.47368421052632,0,0
@@ org.apache.commons.compress.archivers.sevenz.CLI.grabMode,4,4,4,4,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.AES256SHA256Decoder$1.init,23,31,90,75,83.33333333333334,0,0
@@ org.apache.commons.compress.archivers.sevenz.AES256SHA256Decoder$1.close,4,4,6,4,66.66666666666666,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.close,4,4,7,5,71.42857142857143,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.closeArchiveEntry,11,14,46,38,82.6086956521739,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.write,4,4,6,5,83.33333333333334,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.finish,4,4,8,8,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.getCurrentOutputStream,4,4,8,4,50.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.setupFileOutputStream,11,14,24,12,50.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.getContentMethods,5,5,5,5,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeStreamsInfo,4,4,8,6,75.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writePackInfo,12,15,13,11,84.61538461538461,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeUnpackInfo,21,28,29,25,86.20689655172413,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeFolder,8,9,21,10,47.61904761904761,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeSingleCodec,6,7,11,7,63.63636363636363,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeFileEmptyStreams,15,19,32,20,62.5,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeFileEmptyFiles,15,19,22,13,59.09090909090909,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeFileAntiItems,9,11,17,8,47.05882352941176,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeFileNames,5,5,5,5,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeFileCTimes,20,26,49,34,69.38775510204081,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeFileATimes,20,26,49,34,69.38775510204081,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeFileMTimes,20,26,49,34,69.38775510204081,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeFileWindowsAttributes,20,26,49,34,69.38775510204081,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeUint64,10,12,37,11,29.72972972972973,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.writeBits,12,15,34,12,35.294117647058826,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.reverse,5,5,2,2,100.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.<init>,8,10,11,9,81.81818181818183,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.close,6,7,13,9,69.23076923076923,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.getNextEntry,7,9,22,19,86.36363636363636,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readHeaders,12,16,35,26,74.28571428571429,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readStartHeader,6,7,4,3,75.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readHeader,12,16,36,9,25.0,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readArchiveProperties,5,5,5,2,40.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readEncodedHeader,14,19,34,21,61.76470588235294,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readStreamsInfo,11,14,30,11,36.666666666666664,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readPackInfo,16,21,57,27,47.368421052631575,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readUnpackInfo,27,36,68,43,63.23529411764706,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readSubStreamsInfo,46,64,148,65,43.91891891891892,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readFolder,40,54,121,59,48.760330578512395,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readAllOrBits,8,9,17,11,64.70588235294117,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readBits,10,12,28,7,25.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readFilesInfo,84,126,281,131,46.619217081850536,0,2
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.calculateStreamMap,31,43,155,68,43.87096774193549,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.buildDecodingStream,11,14,49,42,85.71428571428571,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.buildDecoderStack,10,13,30,21,70.0,0,0
