>> Method, Nduas, Uduas, Rduas, UduaPerc, RduaPerc, Time_s, Time_ms
@@ org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs.answer,6,2,2,33.3333333333333,33.3333333333333,0,1
@@ org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs.deepStub,13,3,4,23.0769230769231,30.7692307692308,0,1
@@ org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues.answer,25,5,8,20,32,0,1
@@ org.mockito.internal.matchers.LocalizedMatcher.withExtraTypeInfo,7,2,2,28.5714285714286,28.5714285714286,0,1
@@ org.mockito.internal.matchers.LocalizedMatcher.typeMatches,10,3,4,30,40,0,1
@@ org.mockito.internal.matchers.LocalizedMatcher.captureFrom,7,2,2,28.5714285714286,28.5714285714286,0,1
@@ org.mockito.internal.matchers.And.matches,7,3,4,42.8571428571429,57.1428571428571,0,1
@@ org.mockito.internal.matchers.VarargCapturingMatcher.unpackAsList,18,4,7,22.2222222222222,38.8888888888889,0,1
@@ org.mockito.internal.matchers.Equality.areArrayElementsEqual,16,5,10,31.25,62.5,0,1
@@ org.mockito.internal.matchers.ArrayEquals.describeTo,8,3,5,37.5,62.5,0,1
@@ org.mockito.internal.matchers.ArrayEquals.appendArray,20,5,10,25,50,0,1
@@ org.mockito.internal.matchers.Or.matches,7,3,4,42.8571428571429,57.1428571428571,0,1
@@ org.mockito.internal.matchers.Or.describeTo,8,2,4,25,50,0,1
@@ org.mockito.internal.matchers.apachecommons.EqualsBuilder.append,6,2,3,33.3333333333333,50,0,1
@@ org.mockito.internal.matchers.apachecommons.EqualsBuilder.append,6,2,3,33.3333333333333,50,0,1
@@ org.mockito.internal.matchers.apachecommons.EqualsBuilder.append,8,2,2,25,25,0,1
@@ org.mockito.internal.listeners.NotifiedMethodInvocationReport.hashCode,16,6,7,37.5,43.75,0,1
@@ org.mockito.exceptions.Reporter.wantedButNotInvoked,12,2,4,16.6666666666667,33.3333333333333,0,1
@@ org.mockito.internal.invocation.InvocationsFinder$RemoveUnverifiedInOrder.isOut,6,2,2,33.3333333333333,33.3333333333333,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.getLastLocation,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.invocation.MatchersBinder.validateMatchers,10,3,4,30,40,0,0
@@ org.mockito.internal.invocation.InvocationImpl.isVerified,8,3,4,37.5,50,0,0
@@ org.mockito.internal.invocation.InvocationMarker.markVerifiedInOrder,4,1,2,25,50,0,0
@@ org.mockito.internal.invocation.InvocationsFinder$RemoveNotMatching.isOut,6,2,2,33.3333333333333,33.3333333333333,0,0
@@ org.mockito.internal.invocation.InvocationMatcher.<init>,6,2,2,33.3333333333333,33.3333333333333,0,0
@@ org.mockito.internal.invocation.InvocationMatcher.isVarargMatcher,5,2,2,40,40,0,0
@@ org.mockito.internal.handler.InvocationNotifierHandler.notifyMethodCallException,5,1,2,20,40,0,0
@@ org.mockito.internal.handler.NullResultGuardian.handle,6,3,5,50,83.3333333333333,0,0
@@ org.mockito.internal.handler.MockHandlerImpl.createVerificationData,6,2,3,33.3333333333333,50,0,0
@@ org.mockito.internal.reporting.Pluralizer.pluralize,3,2,3,66.6666666666667,100,0,0
@@ org.mockito.internal.configuration.GlobalConfiguration.<init>,4,2,2,50,50,0,0
@@ org.mockito.internal.configuration.GlobalConfiguration.createConfig,4,2,2,50,50,0,0
@@ org.mockito.internal.configuration.plugins.PluginLoader.loadPlugin,5,2,2,40,40,0,0
@@ org.mockito.internal.configuration.plugins.PluginFileReader.stripCommentAndWhitespace,6,2,2,33.3333333333333,33.3333333333333,0,0
@@ org.mockito.internal.configuration.injection.PropertyAndSetterInjection.processInjection,13,2,3,15.3846153846154,23.0769230769231,0,0
@@ org.mockito.internal.configuration.injection.MockInjection$OngoingMockInjection.apply,8,1,2,12.5,25,0,0
@@ org.mockito.internal.configuration.injection.SpyOnInjectedFieldsHandler.processInjection,12,4,6,33.3333333333333,50,0,0
@@ org.mockito.internal.configuration.injection.ConstructorInjection$SimpleArgumentResolver.objectThatIsAssignableFrom,8,3,4,37.5,50,0,0
@@ org.mockito.internal.configuration.injection.PropertyAndSetterInjection$1.isOut,4,3,4,75,100,0,0
@@ org.mockito.internal.configuration.injection.filter.TypeBasedCandidateFilter.filterCandidate,14,2,4,14.2857142857143,28.5714285714286,0,0
@@ org.mockito.internal.configuration.injection.filter.FinalMockCandidateFilter.filterCandidate,7,2,2,28.5714285714286,28.5714285714286,0,0
@@ org.mockito.internal.progress.ThreadSafeMockingProgress.threadSafely,4,2,3,50,75,0,0
@@ org.mockito.internal.progress.ArgumentMatcherStorageImpl.assertMatchersFoundFor,7,2,2,28.5714285714286,28.5714285714286,0,0
@@ org.mockito.internal.progress.ArgumentMatcherStorageImpl.assertIncorrectUseOfAdditionalMatchers,10,2,2,20,20,0,0
@@ org.mockito.internal.progress.ArgumentMatcherStorageImpl.validateState,6,2,2,33.3333333333333,33.3333333333333,0,0
@@ org.mockito.internal.progress.MockingProgressImpl.pullVerificationMode,6,2,2,33.3333333333333,33.3333333333333,0,0
@@ org.mockito.internal.progress.MockingProgressImpl.validateState,7,2,2,28.5714285714286,28.5714285714286,0,0
@@ org.mockito.internal.progress.MockingProgressImpl.validateMostStuff,8,2,3,25,37.5,0,0
@@ org.mockito.internal.progress.MockingProgressImpl.mockingStarted,9,2,3,22.2222222222222,33.3333333333333,0,0
@@ org.mockito.internal.util.Decamelizer.decamelizeMatcher,7,3,4,42.8571428571429,57.1428571428571,0,0
@@ org.mockito.internal.util.MockUtil.createMock,5,2,3,40,60,0,0
@@ org.mockito.internal.util.Checks.checkNotNull,4,2,2,50,50,0,0
@@ org.mockito.internal.util.Timer.validateInput,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.util.ObjectMethodsGuru.isToString,6,4,6,66.6666666666667,100,0,0
@@ org.mockito.internal.util.ObjectMethodsGuru.isEqualsMethod,6,4,6,66.6666666666667,100,0,0
@@ org.mockito.internal.util.ObjectMethodsGuru.isHashCodeMethod,4,3,4,75,100,0,0
@@ org.mockito.internal.util.ObjectMethodsGuru.isCompareToMethod,8,5,8,62.5,100,0,0
@@ org.mockito.internal.util.io.IOUtil.readLines,6,1,2,16.6666666666667,33.3333333333333,0,0
@@ org.mockito.internal.util.io.IOUtil.close,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.util.collections.ArrayUtils.isEmpty,4,3,4,75,100,0,0
@@ org.mockito.internal.util.collections.HashCodeAndEqualsSafeSet.equals,5,2,2,40,40,0,0
@@ org.mockito.internal.util.collections.HashCodeAndEqualsSafeSet.toArray,6,2,3,33.3333333333333,50,0,0
@@ org.mockito.internal.util.reflection.FieldInitializationReport.fieldClass,6,2,3,33.3333333333333,50,0,0
@@ org.mockito.internal.util.reflection.InstanceField.reader,10,2,3,20,30,0,0
@@ org.mockito.internal.util.reflection.BeanPropertySetter.set,5,2,3,40,60,0,0
@@ org.mockito.internal.util.reflection.BeanPropertySetter.reportNoSetterFound,7,2,2,28.5714285714286,28.5714285714286,0,0
