@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.createParser,4,4,12,2,3,16.666666666666664,25.0,0,11
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.createParser,6,7,18,4,5,22.22222222222222,27.77777777777778,0,9
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser,4,4,8,2,3,25.0,37.5,0,6
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser,4,4,8,2,3,25.0,37.5,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser,4,4,8,2,3,25.0,37.5,0,5
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser,4,4,8,2,3,25.0,37.5,0,2
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.hasXMLFormat,49,75,88,33,60,37.5,68.18181818181817,0,63
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.validXmlNameStartChar,4,4,2,2,2,100.0,100.0,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlFactory.tryMatch,9,11,21,6,12,28.57142857142857,57.14285714285714,0,6
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findWrapperName,11,15,17,6,11,35.294117647058826,64.70588235294117,0,2
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findRootName,7,9,12,4,7,33.33333333333333,58.333333333333336,0,1
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNamespace,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsAttribute,7,8,6,3,4,50.0,66.66666666666666,0,0
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsText,7,8,6,3,4,50.0,66.66666666666666,0,1
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.isOutputAsCData,7,8,6,3,4,50.0,66.66666666666666,0,1
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForSerialization,6,8,11,4,7,36.36363636363637,63.63636363636363,0,1
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForDeserialization,6,8,11,4,7,36.36363636363637,63.63636363636363,0,3
@@ com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector._findXmlName,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlMapper.<init>,4,4,7,2,3,28.57142857142857,42.857142857142854,0,2
@@ com.fasterxml.jackson.dataformat.xml.XmlMapper.setDefaultUseWrapper,7,8,8,2,4,25.0,50.0,0,2
@@ com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.init,4,4,7,2,3,28.57142857142857,42.857142857142854,0,0
@@ com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.typeProperty,5,6,9,3,6,33.33333333333333,66.66666666666666,0,1
@@ com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.idResolver,7,9,25,4,5,16.0,20.0,0,2
@@ com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Lf2SpacesIndenter.writeIndentation,5,5,12,2,4,16.666666666666664,33.33333333333333,0,2
@@ com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Lf2SpacesIndenter.writeIndentation,5,5,12,2,4,16.666666666666664,33.33333333333333,0,2
@@ com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findNamespaceAnnotation,12,16,17,6,10,35.294117647058826,58.82352941176471,0,6
@@ com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsAttributeAnnotation,12,16,17,6,10,35.294117647058826,58.82352941176471,0,13
@@ com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsTextAnnotation,12,16,17,6,10,35.294117647058826,58.82352941176471,0,5
@@ com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil.findIsCDataAnnotation,8,10,10,4,6,40.0,60.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.util.XmlInfo.<init>,14,17,16,8,9,50.0,56.25,0,2
@@ com.fasterxml.jackson.dataformat.xml.util.TypeUtil.isIndexedType,9,12,9,5,8,55.55555555555556,88.88888888888889,0,1
@@ com.fasterxml.jackson.dataformat.xml.util.TypeUtil.isIndexedType,8,11,8,6,8,75.0,100.0,0,1
@@ com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.readResolve,4,4,5,2,2,40.0,40.0,0,0
