@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.mockito.internal.invocation.InvocationsFinder.getFirstMatchingChunk,9,11,9,3,5,33.33333333333333,55.55555555555556,0,3
@@ org.mockito.internal.invocation.InvocationsFinder.findFirstMatchingUnverifiedInvocation,7,8,5,2,2,40.0,40.0,0,1
@@ org.mockito.internal.invocation.InvocationsFinder.findSimilarInvocation,11,14,16,7,10,43.75,62.5,0,8
@@ org.mockito.internal.invocation.InvocationsFinder.findFirstUnverified,12,16,11,6,8,54.54545454545454,72.72727272727273,0,5
@@ org.mockito.internal.invocation.InvocationsFinder.getLastLocation,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.findPreviousVerifiedInOrder,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.mockito.internal.invocation.InvocationsFinder.removeVerifiedInOrder,8,9,8,2,3,25.0,37.5,0,3
@@ org.mockito.internal.invocation.InvocationsFinder.findFirstUnverifiedInOrder,11,13,17,9,14,52.94117647058824,82.35294117647058,0,13
@@ org.mockito.internal.invocation.ArgumentsComparator.argumentsMatch,6,7,12,3,4,25.0,33.33333333333333,0,1
@@ org.mockito.internal.invocation.ArgumentsComparator.argumentsMatch,9,11,20,6,12,30.0,60.0,0,3
@@ org.mockito.internal.invocation.ArgumentsComparator.varArgsMatch,21,30,63,24,51,38.095238095238095,80.95238095238095,0,33
@@ org.mockito.internal.invocation.MatchersBinder.validateMatchers,5,6,10,3,4,30.0,40.0,0,0
@@ org.mockito.internal.invocation.InvocationImpl.isVerified,6,7,8,3,4,37.5,50.0,0,0
@@ org.mockito.internal.invocation.InvocationImpl.equals,10,14,29,6,10,20.689655172413794,34.48275862068966,0,2
@@ org.mockito.internal.invocation.InvocationImpl.callRealMethod,4,4,8,2,3,25.0,37.5,0,0
@@ org.mockito.internal.invocation.InvocationMarker.markVerified,5,5,2,1,1,50.0,50.0,0,0
@@ org.mockito.internal.invocation.InvocationMarker.markVerifiedInOrder,5,5,1,1,1,100.0,100.0,0,1
@@ org.mockito.internal.invocation.InvocationsFinder$RemoveNotMatching.isOut,5,5,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.mockito.internal.invocation.UnusedStubsFinder.find,10,12,5,2,3,40.0,60.0,0,1
@@ org.mockito.internal.invocation.InvocationMatcher.<init>,5,5,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.mockito.internal.invocation.InvocationMatcher.matches,7,9,14,4,6,28.57142857142857,42.857142857142854,0,1
